#,Visible?,Starred?,Identified Proteins (1591),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,5848 - #1 - Exp,5848 - #2 - Exp,5848 - #3 - Exp,5848 - #4 - Exp
35,TRUE,Empty,Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=2,sp|P23588|IF4B_HUMAN,,69 kDa,,unknown,125,121,2,0
81,TRUE,Empty,Nebulin OS=Homo sapiens OX=9606 GN=NEB PE=1 SV=1,tr|A0A087X1N7|A0A087X1N7_HUMAN,,991 kDa,,unknown,120,6,0,0
12,TRUE,Empty,Methylosome protein 50 OS=Homo sapiens OX=9606 GN=WDR77 PE=1 SV=1,sp|Q9BQA1|MEP50_HUMAN,,37 kDa,TRUE,unknown,118,432,54,0
17,TRUE,Empty,"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",sp|P13645|K1C10_HUMAN,,59 kDa,TRUE,unknown,116,194,23,150
74,TRUE,Empty,MAX gene-associated protein OS=Homo sapiens OX=9606 GN=MGA PE=1 SV=4,sp|Q8IWI9|MGAP_HUMAN,,336 kDa,TRUE,unknown,116,15,0,0
49,TRUE,Empty,Serine/threonine-protein kinase 38 OS=Homo sapiens OX=9606 GN=STK38 PE=1 SV=1,sp|Q15208|STK38_HUMAN,,54 kDa,TRUE,unknown,113,70,6,0
50,TRUE,Empty,Cytoskeleton-associated protein 5 OS=Homo sapiens OX=9606 GN=CKAP5 PE=1 SV=3,sp|Q14008|CKAP5_HUMAN,,226 kDa,,unknown,113,68,0,1
34,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,sp|P52272|HNRPM_HUMAN,,78 kDa,TRUE,unknown,110,17,44,85
32,TRUE,Empty,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,sp|P11142|HSP7C_HUMAN,,71 kDa,TRUE,unknown,107,90,26,36
70,TRUE,Empty,RNA-binding protein 10 OS=Homo sapiens OX=9606 GN=RBM10 PE=1 SV=3,sp|P98175|RBM10_HUMAN,,104 kDa,TRUE,unknown,107,25,8,0
30,TRUE,Empty,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",sp|P42704|LPPRC_HUMAN,,158 kDa,TRUE,unknown,99,115,2,83
59,TRUE,Empty,eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=6,sp|Q92616|GCN1_HUMAN,,293 kDa,,unknown,98,63,0,6
36,TRUE,Empty,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,sp|P11021|BIP_HUMAN,,72 kDa,TRUE,unknown,96,87,16,47
73,TRUE,Empty,CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3,sp|P27708|PYR1_HUMAN (+1),,243 kDa,,unknown,92,34,0,6
55,TRUE,Empty,Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3,sp|P67809|YBOX1_HUMAN,,36 kDa,TRUE,unknown,90,66,1,9
26,TRUE,Empty,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",sp|P35527|K1C9_HUMAN,,62 kDa,TRUE,unknown,89,150,18,97
40,TRUE,Empty,Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3,sp|Q14315|FLNC_HUMAN,,291 kDa,TRUE,unknown,89,91,2,16
43,TRUE,Empty,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,sp|P21333|FLNA_HUMAN,,281 kDa,TRUE,unknown,88,116,0,4
128,TRUE,Empty,Forkhead box protein O1 OS=Homo sapiens OX=9606 GN=FOXO1 PE=1 SV=2,sp|Q12778|FOXO1_HUMAN,,70 kDa,,unknown,85,0,0,0
38,TRUE,Empty,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,sp|P68104|EF1A1_HUMAN,,50 kDa,TRUE,unknown,80,92,14,53
57,TRUE,Empty,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4,sp|P07910|HNRPC_HUMAN,,34 kDa,TRUE,unknown,79,25,13,50
39,TRUE,Empty,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",sp|P10809|CH60_HUMAN,,61 kDa,TRUE,unknown,78,128,6,32
69,TRUE,Empty,Protein Daple OS=Homo sapiens OX=9606 GN=CCDC88C PE=1 SV=3,sp|Q9P219|DAPLE_HUMAN,,228 kDa,TRUE,unknown,78,55,0,1
52,TRUE,Empty,Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1,tr|A8MXP9|A8MXP9_HUMAN,,100 kDa,TRUE,unknown,76,4,40,54
27,TRUE,Empty,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,sp|P35579|MYH9_HUMAN,,227 kDa,TRUE,unknown,69,247,7,18
71,TRUE,Empty,Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3,sp|O75533|SF3B1_HUMAN,,146 kDa,,unknown,66,7,25,36
28,TRUE,Empty,sp|K22E_HUMAN|,sp|K22E_HUMAN|,,66 kDa,TRUE,unknown,65,148,9,86
5,TRUE,Empty,"Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1",sp|P68032|ACTC_HUMAN,,42 kDa,TRUE,unknown,64,445,51,10
65,TRUE,Empty,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",sp|P38646|GRP75_HUMAN,,74 kDa,TRUE,unknown,63,49,0,34
68,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5,sp|P09651|ROA1_HUMAN,,39 kDa,TRUE,unknown,61,25,17,33
60,TRUE,Empty,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,sp|P22626|ROA2_HUMAN,,37 kDa,TRUE,unknown,59,22,27,55
195,TRUE,Empty,Zinc finger and BTB domain-containing protein 39 OS=Homo sapiens OX=9606 GN=ZBTB39 PE=1 SV=1,sp|O15060|ZBT39_HUMAN,,79 kDa,TRUE,unknown,59,1,0,0
62,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,sp|P61978|HNRPK_HUMAN,,51 kDa,TRUE,unknown,57,28,47,28
164,TRUE,Empty,Kelch-like protein 41 OS=Homo sapiens OX=9606 GN=KLHL41 PE=1 SV=2,sp|O60662|KLH41_HUMAN,,68 kDa,,unknown,56,14,0,0
85,TRUE,Empty,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,sp|Q00610|CLH1_HUMAN (+1),,192 kDa,TRUE,unknown,55,39,8,19
165,TRUE,Empty,Spindlin interactor and repressor of chromatin-binding protein OS=Homo sapiens OX=9606 GN=SPINDOC PE=1 SV=3,sp|Q9BUA3|SPNDC_HUMAN,,41 kDa,,unknown,55,16,0,0
179,TRUE,Empty,Telomere-associated protein RIF1 OS=Homo sapiens OX=9606 GN=RIF1 PE=1 SV=2,sp|Q5UIP0|RIF1_HUMAN,,274 kDa,,unknown,54,5,1,3
198,TRUE,Empty,Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2,sp|P46821|MAP1B_HUMAN,,271 kDa,TRUE,unknown,53,4,0,0
41,TRUE,Empty,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3,sp|P19338|NUCL_HUMAN,,77 kDa,TRUE,unknown,52,49,18,105
76,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1,sp|Q14103|HNRPD_HUMAN,,38 kDa,TRUE,unknown,51,42,15,19
120,TRUE,Empty,Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4,sp|Q14766|LTBP1_HUMAN,,187 kDa,TRUE,unknown,48,37,0,4
123,TRUE,Empty,Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5,sp|Q13263|TIF1B_HUMAN,,89 kDa,TRUE,unknown,47,6,26,6
223,TRUE,Empty,Paired box protein Pax-3 OS=Homo sapiens OX=9606 GN=PAX3 PE=1 SV=2,sp|P23760|PAX3_HUMAN,,53 kDa,TRUE,unknown,46,0,2,0
66,TRUE,Empty,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3",sp|P34897|GLYM_HUMAN,,56 kDa,TRUE,unknown,44,46,7,50
262,TRUE,Empty,Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6,sp|P02788|TRFL_HUMAN (+3),,78 kDa,,unknown,44,0,0,0
48,TRUE,Empty,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,sp|Q08211|DHX9_HUMAN,,141 kDa,TRUE,unknown,43,17,68,58
75,TRUE,Empty,Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3,sp|Q12906|ILF3_HUMAN,,95 kDa,TRUE,unknown,43,25,28,31
83,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4,sp|P31943|HNRH1_HUMAN (+1),,49 kDa,TRUE,unknown,43,18,40,26
187,TRUE,Empty,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD2 PE=1 SV=2",sp|P13995|MTDC_HUMAN,,38 kDa,,unknown,43,13,0,0
77,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1,sp|O43390|HNRPR_HUMAN,,71 kDa,TRUE,unknown,42,37,18,32
89,TRUE,Empty,DNA helicase OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=1,tr|A0A0C4DGG9|A0A0C4DGG9_HUMAN,,220 kDa,TRUE,unknown,42,4,23,39
95,TRUE,Empty,Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,sp|P26641|EF1G_HUMAN,,50 kDa,,unknown,42,53,1,11
146,TRUE,Empty,SLAIN motif-containing protein 2 OS=Homo sapiens OX=9606 GN=SLAIN2 PE=1 SV=2,sp|Q9P270|SLAI2_HUMAN,,63 kDa,TRUE,unknown,41,38,0,0
100,TRUE,Empty,T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1,sp|P48643|TCPE_HUMAN,,60 kDa,,unknown,40,58,2,0
184,TRUE,Empty,RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1,sp|Q9Y265|RUVB1_HUMAN,,50 kDa,,unknown,40,16,3,0
244,TRUE,Empty,Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,sp|Q15393|SF3B3_HUMAN,,136 kDa,,unknown,40,4,0,0
51,TRUE,Empty,Peroxidasin homolog OS=Homo sapiens OX=9606 GN=PXDN PE=1 SV=2,sp|Q92626|PXDN_HUMAN,,165 kDa,,unknown,39,57,2,81
117,TRUE,Empty,T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4,sp|P49368|TCPG_HUMAN,,61 kDa,,unknown,39,53,1,0
152,TRUE,Empty,Structural maintenance of chromosomes protein 2 OS=Homo sapiens OX=9606 GN=SMC2 PE=1 SV=2,sp|O95347|SMC2_HUMAN,,136 kDa,,unknown,39,11,3,16
118,TRUE,Empty,Serine/threonine-protein kinase 38-like OS=Homo sapiens OX=9606 GN=STK38L PE=1 SV=3,sp|Q9Y2H1|ST38L_HUMAN,,54 kDa,TRUE,unknown,38,39,0,0
125,TRUE,Empty,T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,sp|P40227|TCPZ_HUMAN,,58 kDa,TRUE,unknown,38,52,0,0
144,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens OX=9606 GN=HNRNPUL2 PE=1 SV=1,sp|Q1KMD3|HNRL2_HUMAN,,85 kDa,,unknown,38,26,3,6
171,TRUE,Empty,Centrosomal protein of 112 kDa OS=Homo sapiens OX=9606 GN=CEP112 PE=1 SV=2,sp|Q8N8E3|CE112_HUMAN,,113 kDa,,unknown,37,33,0,0
183,TRUE,Empty,Structural maintenance of chromosomes protein OS=Homo sapiens OX=9606 GN=SMC4 PE=1 SV=1,tr|E9PD53|E9PD53_HUMAN,,144 kDa,,unknown,37,11,2,8
208,TRUE,Empty,Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=2,sp|Q13435|SF3B2_HUMAN (+1),,100 kDa,,unknown,37,5,12,0
63,TRUE,Empty,Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2,sp|Q86YZ3|HORN_HUMAN,,282 kDa,,unknown,36,70,0,43
88,TRUE,Empty,Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1,sp|P26599|PTBP1_HUMAN,,57 kDa,TRUE,unknown,36,35,16,21
93,TRUE,Empty,T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4,sp|P78371|TCPB_HUMAN,,57 kDa,,unknown,36,65,2,0
108,TRUE,Empty,DNA mismatch repair protein Msh2 OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1,sp|P43246|MSH2_HUMAN,,105 kDa,,unknown,36,25,13,15
114,TRUE,Empty,T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,sp|P50990|TCPQ_HUMAN,,60 kDa,,unknown,36,58,0,1
148,TRUE,Empty,DNA mismatch repair protein Msh6 OS=Homo sapiens OX=9606 GN=MSH6 PE=1 SV=2,sp|P52701|MSH6_HUMAN,,153 kDa,,unknown,36,5,13,20
78,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,sp|Q14152|EIF3A_HUMAN,,167 kDa,,unknown,35,79,0,4
104,TRUE,Empty,T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2,sp|Q99832|TCPH_HUMAN,,59 kDa,,unknown,35,60,1,1
221,TRUE,Empty,RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3,sp|Q9Y230|RUVB2_HUMAN,,51 kDa,,unknown,35,16,0,0
96,TRUE,Empty,"RNA-binding motif protein, X chromosome OS=Homo sapiens OX=9606 GN=RBMX PE=1 SV=3",sp|P38159|RBMX_HUMAN,,42 kDa,TRUE,unknown,34,7,18,38
131,TRUE,Empty,T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4,sp|P50991|TCPD_HUMAN,,58 kDa,,unknown,34,43,0,2
212,TRUE,Empty,Spindlin-1 OS=Homo sapiens OX=9606 GN=SPIN1 PE=1 SV=3,sp|Q9Y657|SPIN1_HUMAN,,30 kDa,TRUE,unknown,34,22,0,0
169,TRUE,Empty,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2,sp|O43143|DHX15_HUMAN,,91 kDa,TRUE,unknown,33,1,18,12
105,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2,sp|P51991|ROA3_HUMAN,,40 kDa,TRUE,unknown,31,10,19,29
124,TRUE,Empty,T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1,sp|P17987|TCPA_HUMAN,,60 kDa,,unknown,31,50,0,5
172,TRUE,Empty,Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1,sp|O14980|XPO1_HUMAN,,123 kDa,,unknown,31,24,1,9
336,TRUE,Empty,Lipocalin-1 OS=Homo sapiens OX=9606 GN=LCN1 PE=1 SV=1,sp|P31025|LCN1_HUMAN,,19 kDa,,unknown,31,2,0,2
58,TRUE,Empty,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,sp|P08238|HS90B_HUMAN,,83 kDa,TRUE,unknown,30,107,5,18
150,TRUE,Empty,Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2,sp|P53621|COPA_HUMAN,,138 kDa,,unknown,30,22,2,20
220,TRUE,Empty,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3 OS=Homo sapiens OX=9606 GN=PFKFB3 PE=1 SV=1",sp|Q16875|F263_HUMAN,,60 kDa,TRUE,unknown,30,22,0,0
279,TRUE,Empty,U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP PE=1 SV=2,sp|O15042|SR140_HUMAN,,118 kDa,,unknown,30,0,6,3
84,TRUE,Empty,Histone H2B type 1-C/E/F/G/I OS=Homo sapiens OX=9606 GN=H2BC4 PE=1 SV=4,sp|P62807|H2B1C_HUMAN,,14 kDa,TRUE,unknown,29,20,18,52
133,TRUE,Empty,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,sp|P55072|TERA_HUMAN,,89 kDa,,unknown,29,52,1,0
135,TRUE,Empty,RNA-binding protein Raly (Fragment) OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1,tr|Q5QPL9|Q5QPL9_HUMAN,,25 kDa,TRUE,unknown,29,9,13,19
259,TRUE,Empty,Rabankyrin-5 OS=Homo sapiens OX=9606 GN=ANKFY1 PE=1 SV=2,sp|Q9P2R3|ANFY1_HUMAN,,128 kDa,,unknown,29,13,0,0
283,TRUE,Empty,Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=2,sp|Q8N163|CCAR2_HUMAN,,103 kDa,,unknown,29,9,0,0
42,TRUE,Empty,"Keratin, type II cytoskeletal 6C OS=Homo sapiens OX=9606 GN=KRT6C PE=1 SV=3",sp|P48668|K2C6C_HUMAN,,60 kDa,TRUE,unknown,28,72,1,21
153,TRUE,Empty,Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2,sp|P51532|SMCA4_HUMAN (+1),,185 kDa,TRUE,unknown,28,4,21,19
204,TRUE,Empty,SWI/SNF complex subunit SMARCC1 OS=Homo sapiens OX=9606 GN=SMARCC1 PE=1 SV=3,sp|Q92922|SMRC1_HUMAN,,123 kDa,TRUE,unknown,28,8,14,4
315,TRUE,Empty,General transcription factor 3C polypeptide 1 OS=Homo sapiens OX=9606 GN=GTF3C1 PE=1 SV=4,sp|Q12789|TF3C1_HUMAN,,239 kDa,,unknown,28,0,1,4
345,TRUE,Empty,Collagen alpha-1(III) chain OS=Homo sapiens OX=9606 GN=COL3A1 PE=1 SV=4,sp|P02461|CO3A1_HUMAN,,139 kDa,TRUE,unknown,28,1,0,0
281,TRUE,Empty,SURP and G-patch domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUGP2 PE=1 SV=2,sp|Q8IX01|SUGP2_HUMAN (+1),,120 kDa,,unknown,27,0,5,9
188,TRUE,Empty,X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2,sp|P12956|XRCC6_HUMAN,,70 kDa,,unknown,26,14,6,13
225,TRUE,Empty,Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=3,sp|P51659|DHB4_HUMAN,,80 kDa,,unknown,26,10,0,7
91,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2,sp|O60506|HNRPQ_HUMAN,,70 kDa,TRUE,unknown,25,31,9,9
113,TRUE,Empty,Methylosome subunit pICln OS=Homo sapiens OX=9606 GN=CLNS1A PE=1 SV=1,sp|P54105|ICLN_HUMAN,,26 kDa,TRUE,unknown,25,63,5,0
159,TRUE,Empty,Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=2,sp|Q12905|ILF2_HUMAN,,43 kDa,,unknown,25,23,10,18
168,TRUE,Empty,X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3,sp|P13010|XRCC5_HUMAN,,83 kDa,,unknown,25,13,3,22
268,TRUE,Empty,Serine/threonine-protein kinase RIO1 OS=Homo sapiens OX=9606 GN=RIOK1 PE=1 SV=2,sp|Q9BRS2|RIOK1_HUMAN,,66 kDa,,unknown,25,17,0,0
333,TRUE,Empty,Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Homo sapiens OX=9606 GN=ARFGEF2 PE=1 SV=3,sp|Q9Y6D5|BIG2_HUMAN,,202 kDa,TRUE,unknown,25,4,0,0
368,TRUE,Empty,Transcription factor E2F7 OS=Homo sapiens OX=9606 GN=E2F7 PE=1 SV=3,sp|Q96AV8|E2F7_HUMAN,,100 kDa,,unknown,25,6,0,0
386,TRUE,Empty,Condensin-2 complex subunit D3 OS=Homo sapiens OX=9606 GN=NCAPD3 PE=1 SV=2,sp|P42695|CNDD3_HUMAN,,169 kDa,,unknown,25,0,0,5
112,TRUE,Empty,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2,sp|O75643|U520_HUMAN,,245 kDa,,unknown,24,0,26,39
257,TRUE,Empty,"Glutaryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GCDH PE=1 SV=1",sp|Q92947|GCDH_HUMAN,,48 kDa,,unknown,24,19,0,1
314,TRUE,Empty,Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1,sp|Q15459|SF3A1_HUMAN,,89 kDa,,unknown,24,0,10,1
64,TRUE,Empty,"Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",sp|P08779|K1C16_HUMAN,,51 kDa,TRUE,unknown,23,71,2,24
106,TRUE,Empty,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,sp|P14618|KPYM_HUMAN,,58 kDa,TRUE,unknown,23,65,1,4
142,TRUE,Empty,Enoyl-CoA hydratase OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2,tr|H0YFD6|H0YFD6_HUMAN,,86 kDa,TRUE,unknown,23,17,0,37
239,TRUE,Empty,DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1,sp|Q16531|DDB1_HUMAN,,127 kDa,,unknown,23,18,0,2
300,TRUE,Empty,Calpain-6 OS=Homo sapiens OX=9606 GN=CAPN6 PE=1 SV=2,sp|Q9Y6Q1|CAN6_HUMAN,,75 kDa,,unknown,23,0,0,15
359,TRUE,Empty,Gem-associated protein 5 OS=Homo sapiens OX=9606 GN=GEMIN5 PE=1 SV=3,sp|Q8TEQ6|GEMI5_HUMAN,,169 kDa,,unknown,23,5,0,0
375,TRUE,Empty,KN motif and ankyrin repeat domain-containing protein 1 OS=Homo sapiens OX=9606 GN=KANK1 PE=1 SV=3,sp|Q14678|KANK1_HUMAN,,147 kDa,TRUE,unknown,23,1,0,5
47,TRUE,Empty,"Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",sp|P13647|K2C5_HUMAN,,62 kDa,TRUE,unknown,22,34,0,27
